,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13
29522,0.85145,0.80888,0.84281,0.84608,0.8636,0.94403,0.888,0.96461,0.79071,0.33324,0.1358,0.16553
39916,0.52889,0.50362,0.55451,0.52757,0.60776,1.09285,1.06559,1.09864,0.62424,0.03897,0.59594,0.35457
23811,0.85314,0.79778,0.83372,0.84457,0.84753,0.8665,0.84789,0.8683,0.81573,0.29532,0.10166,0.12565
16900,0.8531,0.76902,0.8036,0.75802,0.78625,0.8266,0.75702,0.85263,0.54909,0.09693,0.07633,0.0954
4357,0.57969,0.55103,0.62964,0.54976,0.68113,0.88689,0.74841,0.93639,0.14623,0.00032,0.73181,0.54416
34022,0.6289,0.56505,0.61537,0.61512,0.64842,0.7749,0.70424,0.79792,0.39994,0.01552,0.08594,0.1049
3438,0.88157,0.83482,0.8643,0.87336,0.87813,0.9306,0.89206,0.93999,0.83574,0.30153,0.11048,0.13627
31978,0.70167,0.63782,0.68985,0.69925,0.72384,0.8052,0.76346,0.81427,0.66185,0.20144,0.11196,0.1317
48787,0.78566,0.753,0.79667,0.78739,0.82766,1.03487,0.91152,1.09177,0.58445,0.11599,0.65407,0.48865
7704,0.31057,0.28486,0.33012,0.27804,0.41666,0.98734,0.96609,0.99408,0.58631,0.02484,0.74047,0.49315
40785,0.7443,0.6862,0.73025,0.7439,0.76076,0.8571,0.82938,0.85618,0.73776,0.27814,0.14009,0.16217
5229,0.85523,0.81371,0.84928,0.85041,0.87791,0.99309,0.95075,0.98699,0.83774,0.25732,0.08472,0.10617
48318,0.61276,0.58532,0.65596,0.62021,0.72454,0.97563,0.95474,0.97883,0.69787,0.24007,0.12189,0.14546
756,0.81574,0.77825,0.84797,0.80332,0.96479,1.02362,0.99175,1.02215,0.81977,0.33184,0.12757,0.15537
5929,0.54338,0.51298,0.59213,0.5508,0.68587,0.94681,0.91254,0.95214,0.59246,0.13793,0.07628,0.09651
9,0.70109,0.65091,0.71494,0.70276,0.77735,0.87957,0.84615,0.88326,0.67719,0.20652,0.099,0.12153
4918,0.80557,0.78234,0.88122,0.98036,0.99946,1.01317,0.97161,1.02194,0.56651,0.05806,0.62787,0.46124
41244,0.5171,0.39424,0.44069,0.46227,0.48154,0.53651,0.50235,0.54822,0.28285,0.00894,0.3735,0.30595
30210,0.18249,0.18082,0.23743,0.32794,0.3823,0.44595,0.45274,0.57442,0.14115,0.02014,0.85262,0.70057
19133,0.32742,0.24526,0.26657,0.22614,0.2842,0.5426,0.47973,0.57428,0.03652,0.00097,0.31858,0.18567
46483,0.51109,0.45736,0.52085,0.40866,0.54125,0.7949,0.66551,0.82867,0.02097,0.00042,0.04992,0.05198
8501,0.35294,0.28529,0.32913,0.31259,0.38372,0.69949,0.63785,0.72226,0.17832,0.0016,0.18217,0.19265
18521,0.67112,0.63678,0.66958,0.65245,0.6905,0.82513,0.77914,0.88158,0.50067,0.09065,0.09198,0.11175
33578,0.54871,0.5581,0.67994,0.79454,0.89186,0.97201,0.82611,1.0207,0.41751,0.09059,0.1013,0.13006
7471,0.62435,0.59222,0.67808,0.61318,0.75253,0.97489,0.94172,0.97531,0.52208,0.00823,0.06706,0.08184
16018,0.46064,0.42039,0.50479,0.45236,0.56653,0.86172,0.82368,0.87322,0.4837,0.09944,0.14187,0.17595
9079,0.57255,0.5491,0.58549,0.63003,0.65526,0.68163,0.68737,0.75213,0.53225,0.22112,0.10798,0.14078
36838,0.59982,0.47162,0.58087,0.64214,0.66239,0.67096,0.66684,0.67973,0.56064,0.21196,0.15758,0.17539
47286,0.91825,0.87688,0.92055,0.92379,0.94651,1.0453,0.97895,1.07704,0.77932,0.24091,0.70004,0.55177
8920,1.00339,0.93147,0.96157,0.91905,0.93463,0.95538,0.896,0.96102,0.7965,0.21794,0.07485,0.09466
42105,0.41076,0.39312,0.44444,0.5196,0.55945,0.59834,0.62823,0.68794,0.49555,0.03148,0.77323,0.64043
18689,0.74325,0.71293,0.77988,0.81484,0.91284,1.02446,0.97397,1.02516,0.44025,0.02214,0.14575,0.14887
39982,0.67315,0.631,0.66108,0.61845,0.65965,0.93982,0.80886,0.98424,0.30556,0.01869,0.07986,0.09905
36714,0.44977,0.42504,0.48771,0.42526,0.56781,1.05398,0.9208,1.09112,0.34076,0.1612,0.83922,0.56462
6627,0.44048,0.45867,0.70244,0.47332,1.02951,1.0338,1.02338,1.03864,0.76195,0.08007,0.44666,0.52201
12521,0.73476,0.69514,0.73024,0.70786,0.74111,0.92751,0.80005,0.97471,0.41845,0.02361,0.07613,0.09536
6823,0.81202,0.76767,0.8113,0.80658,0.83265,1.00071,0.94094,0.99819,0.62378,0.04146,0.04732,0.06081
17037,0.71647,0.68078,0.72495,0.7096,0.75833,0.98053,0.88915,0.99645,0.6178,0.09884,0.05261,0.06768
22493,0.37648,0.30721,0.33724,0.28032,0.35178,0.63647,0.53203,0.6651,0.02843,0.00056,0.43799,0.23112
41663,0.46706,0.39455,0.42338,0.4472,0.45859,0.46649,0.47076,0.48857,0.36483,0.05358,0.39265,0.24189
15283,0.33009,0.29557,0.37616,0.30731,0.49119,0.93583,0.91442,0.94538,0.5142,0.00501,0.60721,0.64238
7635,0.69464,0.65831,0.69006,0.69574,0.73695,1.01628,0.96928,1.02223,0.5741,0.08779,0.08923,0.11234
35396,0.65761,0.63056,0.67818,0.66335,0.71203,0.96552,0.83552,1.02271,0.46959,0.04708,0.66891,0.4746
38513,0.8518,0.80766,0.85592,0.84149,0.89092,0.9118,0.85132,0.91757,0.59631,0.09121,0.08433,0.1055
27537,0.92885,0.88616,0.9257,0.92956,0.95164,1.03634,0.97157,1.06458,0.67473,0.10884,0.70238,0.55346
17969,0.56793,0.50487,0.57689,0.54262,0.65164,0.81653,0.76444,0.82903,0.2376,0.00089,0.07634,0.09293
15898,0.66198,0.62493,0.67213,0.66002,0.72812,0.99248,0.96058,0.99259,0.68356,0.13504,0.07434,0.0937
42121,0.74143,0.70112,0.74781,0.75221,0.78272,0.94304,0.88847,0.96037,0.55541,0.05673,0.70384,0.578
42393,0.49761,0.44842,0.51189,0.48789,0.58878,0.85457,0.83946,0.86024,0.60113,0.14506,0.1563,0.19299
39422,0.27985,0.27647,0.39068,0.24812,0.5609,1.05405,0.9409,1.08629,0.0964,0.0003,0.98235,0.76729
32648,0.46631,0.44497,0.51305,0.463,0.58663,1.08114,0.98178,1.10643,0.40883,0.05988,0.93427,0.65776
