,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13
163937,0.61772,0.57002,0.58631,0.60736,0.73284,0.77161,0.69627,0.79486,0.33649,0.01991,0.39325,0.29838
135338,0.51965,0.51447,0.49176,0.58297,0.93878,0.94742,0.91629,0.95498,0.608,0.20849,0.15067,0.16921
352697,0.66575,0.6059,0.6437,0.66358,0.6686,0.66911,0.66946,0.66935,0.65688,0.23622,0.0954,0.11683
358965,0.48374,0.38692,0.41784,0.42454,0.43928,0.44788,0.42507,0.45501,0.14905,0.00119,0.32779,0.26415
100838,0.61092,0.60239,0.58544,0.66411,0.99108,1.00429,0.94957,1.01379,0.63584,0.2549,0.11878,0.14334
23517,0.29948,0.2977,0.24589,0.45774,0.67518,0.6802,0.6622,0.68449,0.36759,0.00659,0.40403,0.19605
44419,0.26624,0.37576,0.2129,0.50903,0.98811,1.00178,0.9595,1.01233,0.394,0.00061,0.63524,0.26445
89076,0.26356,0.36085,0.21602,0.47609,0.89315,0.95262,0.84114,0.98737,0.07315,0.00052,0.92467,0.43294
346841,0.37682,0.32883,0.34158,0.34755,0.35202,0.35347,0.34599,0.35415,0.2283,0.00852,0.08027,0.09587
355810,0.94616,0.8997,0.93049,0.93025,0.93747,0.94073,0.91625,0.93889,0.63481,0.10912,0.09523,0.11683
313467,0.45679,0.4204,0.43247,0.43845,0.44091,0.44101,0.4364,0.44054,0.34252,0.02988,0.07152,0.08861
92263,0.24869,0.32106,0.21101,0.44418,0.96372,0.98354,0.93018,0.99771,0.29978,0.00047,0.94529,0.52272
361416,0.6125,0.50346,0.56822,0.6069,0.61794,0.62065,0.62292,0.62423,0.60392,0.25959,0.13161,0.15286
214711,0.60142,0.56891,0.59883,0.60625,0.61792,0.62746,0.61622,0.63838,0.38505,0.01606,0.57933,0.49825
359737,0.60914,0.54684,0.58836,0.60661,0.61641,0.62198,0.61574,0.62764,0.50547,0.19106,0.14051,0.16745
360472,0.6742,0.61685,0.64755,0.63613,0.65438,0.66818,0.63263,0.67611,0.28132,0.00121,0.09161,0.10702
696,0.29072,0.39453,0.58881,0.65852,0.7206,0.7719,0.78979,0.8305,0.5386,0.01077,0.88748,0.8489
346072,0.7195,0.67864,0.7005,0.71064,0.71331,0.71297,0.70992,0.71157,0.64803,0.15871,0.07752,0.09777
88946,0.9989,0.93224,0.95121,0.88348,0.92823,0.97118,0.87488,0.99653,0.11781,0.0003,0.12836,0.17284
395577,0.74185,0.68271,0.72055,0.73801,0.74137,0.74043,0.73928,0.7381,0.72905,0.2488,0.10129,0.1197
167548,0.3605,0.35008,0.31485,0.45029,0.82232,0.84415,0.79834,0.86072,0.33558,0.05375,0.57402,0.35822
108087,0.38691,0.44509,0.35288,0.58548,0.98347,0.99206,0.96578,0.99957,0.52621,0.00286,0.15728,0.13351
306154,0.55245,0.50577,0.52894,0.54298,0.54657,0.54743,0.54705,0.54816,0.51793,0.21786,0.12413,0.14971
61393,0.25213,0.30125,0.19527,0.36119,0.86465,0.94026,0.80398,0.98341,0.03451,0.00045,0.78455,0.33296
358565,0.58801,0.55105,0.57365,0.58337,0.58822,0.59052,0.58826,0.59351,0.52507,0.23822,0.13223,0.15957
