Clear_B01,Clear_B02,Clear_B03,Clear_B04,Clear_B05,Clear_B06,Clear_B07,Clear_B08,Clear_B09,Clear_B10,Clear_B11,Clear_B12,Clear_B13
0.08249,0.23293,0.25214,0.4059,0.22984,0.57017,0.96216,0.86004,0.99192,0.09851,0.0003,0.93802,0.63086
0.08418,0.24139,0.24073,0.40624,0.2257,0.53585,0.99613,0.9797,1.00076,0.65307,0.02444,0.95462,0.8155
0.11165,0.25091,0.23595,0.34615,0.2393,0.47323,0.99038,0.96136,0.99878,0.49639,0.00249,0.94752,0.82833
0.09198,0.18872,0.17683,0.25869,0.16456,0.33954,0.99662,0.97557,1.0015,0.60451,0.01233,0.66134,0.48661
0.09751,0.22693,0.20853,0.28644,0.17184,0.35972,0.99542,0.96504,1.00184,0.50194,0.00263,0.95336,0.87827
0.14958,0.25166,0.21834,0.29723,0.20828,0.39732,0.9657,0.8985,0.98943,0.20091,0.00069,0.88759,0.7002
0.11525,0.20623,0.20853,0.39765,0.18458,0.54144,0.94443,0.82382,0.98377,0.05356,0.0004,0.91413,0.66242
0.11124,0.22308,0.22918,0.42398,0.19204,0.56911,0.97036,0.89531,0.99313,0.17754,0.00042,0.85382,0.65812
0.08501,0.11919,0.10757,0.19282,0.09358,0.29712,0.99265,0.9798,0.99843,0.69091,0.04235,0.75125,0.59848
0.08796,0.25401,0.25888,0.39227,0.21186,0.49707,0.96992,0.87248,0.99561,0.11007,0.00037,0.84618,0.61282
0.09137,0.13978,0.14023,0.24362,0.12011,0.33273,0.75781,0.73726,0.84337,0.10096,0.00031,0.54044,0.39474
0.11534,0.20329,0.18172,0.25847,0.15038,0.35277,0.93778,0.79512,0.98273,0.02851,0.00034,0.90672,0.63792
0.10759,0.27176,0.27413,0.42723,0.30235,0.58427,0.98743,0.96451,0.9964,0.54982,0.00574,0.94397,0.91861
0.09914,0.43598,0.42795,0.48297,0.49763,0.60099,0.72048,0.6932,0.94901,0.04387,0.0003,0.91832,0.76264
0.1016,0.18802,0.19451,0.37178,0.17572,0.5163,0.97286,0.8966,0.99465,0.18005,0.00036,0.93745,0.71973
