,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle,COT_est
186336,0.75866,0.70452,0.7453,0.77353,0.86675,0.88366,0.84104,0.89557,0.63944,0.27257,0.17876,0.20273,67.02,2.0
189967,0.83997,0.80404,0.82152,0.84094,0.92932,0.96362,0.89148,0.98602,0.78017,0.26514,0.10519,0.12981,33.94,2.0
6746,0.61199,0.6219,0.60007,0.7202,0.94902,0.99415,0.89141,1.02386,0.33422,0.00687,0.83794,0.62226,49.76,2.0
198780,0.42731,0.38594,0.39766,0.40487,0.40768,0.40794,0.40461,0.40831,0.31798,0.03445,0.10483,0.12179,56.04,2.0
87573,0.24599,0.30698,0.45852,0.48805,0.55084,0.62021,0.61566,0.70634,0.13188,0.00043,0.94216,0.86251,46.32,0.0
62705,0.19739,0.21967,0.14458,0.29681,0.9515,0.99044,0.96187,0.9987,0.50292,0.00212,0.56051,0.24456,52.13,0.0
28597,0.61249,0.59891,0.61147,0.6643,0.95474,0.98091,0.91357,1.00133,0.44537,0.02427,0.65294,0.5064,49.44,2.0
176513,0.88962,0.8482,0.91415,0.93593,0.96375,0.97814,0.94496,0.96235,0.68064,0.10418,0.0828,0.10328,35.01,2.0
115000,0.96061,0.89835,0.9486,0.95479,0.96886,0.97641,0.94998,0.98192,0.52779,0.00286,0.08586,0.11553,53.65,2.0
133302,0.14272,0.11984,0.11414,0.11428,0.11329,0.11192,0.11068,0.11019,0.10145,0.04798,0.07105,0.06675,52.69,0.0
49962,0.43906,0.43251,0.41643,0.48344,0.86237,0.92582,0.80542,0.96809,0.28309,0.01629,0.51231,0.33724,54.22,2.0
9729,0.5049,0.47116,0.46042,0.53209,0.61603,0.65764,0.59054,0.68239,0.36422,0.09461,0.37423,0.23273,75.35,2.0
131392,0.73273,0.70065,0.71416,0.75499,0.96225,0.96954,0.93041,0.97259,0.7446,0.28675,0.11666,0.14289,51.56,2.0
20912,0.47673,0.36975,0.41061,0.43543,0.4622,0.4954,0.49612,0.57418,0.23121,0.00373,0.39613,0.30514,82.66,2.0
127903,0.22485,0.30914,0.19006,0.42491,1.02127,1.02897,0.99927,1.03656,0.58112,0.05304,0.46937,0.27783,38.38,1.0
190552,0.44704,0.50175,0.41372,0.64661,0.87889,0.88584,0.86603,0.8917,0.52366,0.03298,0.61456,0.29968,60.42,2.0
85292,0.24008,0.32165,0.20693,0.451,0.99279,0.99621,0.98714,1.00023,0.74937,0.07832,0.95066,0.64882,48.05,0.0
58151,0.52973,0.50746,0.49772,0.45601,0.47078,0.49216,0.43752,0.48803,0.05809,0.00038,0.41417,0.3261,55.28,2.0
187868,0.7371,0.68496,0.71716,0.74284,0.81461,0.8283,0.79171,0.83373,0.57421,0.14613,0.5616,0.46035,63.82,2.0
165006,0.27353,0.31463,0.232,0.39783,0.88357,0.92754,0.83412,0.95699,0.1876,0.00821,0.31813,0.16156,63.7,1.0
78898,0.58744,0.67559,0.55229,0.78957,0.99051,0.99635,0.97653,1.00128,0.6194,0.00952,0.46568,0.3848,39.73,0.0
26473,0.88673,0.85517,0.89313,0.91737,1.04575,1.06894,1.00914,1.08408,0.72011,0.19392,0.76434,0.62004,34.86,2.0
124159,0.312,0.3693,0.27003,0.49567,0.97136,0.9778,0.95822,0.98494,0.62316,0.10675,0.52332,0.41235,57.2,2.0
51569,0.25508,0.39664,0.25048,0.61621,0.87543,0.94697,0.81203,0.98732,0.0374,0.00032,0.71503,0.26426,54.9,0.0
7080,0.56937,0.50704,0.53035,0.51004,0.53444,0.55536,0.51188,0.57096,0.10341,0.00047,0.48149,0.38322,69.3,2.0
85877,0.34223,0.4612,0.70887,0.81094,0.91999,0.99049,0.96109,0.99874,0.49584,0.00233,0.95067,0.92331,47.49,0.0
1686,0.33625,0.3522,0.29074,0.37165,0.86952,0.92941,0.80922,0.96412,0.0789,0.00037,0.44363,0.2452,52.45,2.0
153725,0.89413,0.84593,0.90571,0.88612,0.89353,0.90187,0.85404,0.89617,0.62197,0.03214,0.049,0.06298,39.53,2.0
62328,0.30696,0.36924,0.26511,0.55075,0.94664,0.96665,0.92739,0.98641,0.34809,0.0009,0.69266,0.34497,74.61,0.0
79285,0.28727,0.30625,0.25603,0.3823,0.94775,0.9748,0.90936,0.9945,0.22497,0.00044,0.90416,0.46689,59.53,0.0
195021,0.70812,0.68773,0.68599,0.80545,0.84001,0.84719,0.80619,0.84762,0.48995,0.0157,0.07532,0.09289,68.27,2.0
91692,0.33599,0.49511,0.28287,0.67155,0.99695,0.99924,0.99057,1.00189,0.77875,0.04788,0.34179,0.21182,37.52,0.0
11819,0.38028,0.37096,0.34651,0.45196,0.77205,0.78448,0.7524,0.79527,0.38381,0.03144,0.70288,0.52569,69.4,2.0
168617,0.60137,0.53729,0.57651,0.59147,0.62521,0.65036,0.60426,0.66313,0.38824,0.04349,0.32786,0.23011,74.65,2.0
137401,0.64412,0.62387,0.70132,0.73858,0.77823,0.82516,0.83601,0.91204,0.65276,0.2764,0.11035,0.13616,57.59,2.0
122613,0.53451,0.4945,0.51743,0.73204,0.7502,0.75345,0.74453,0.75659,0.58622,0.1417,0.1187,0.13486,79.68,2.0
106874,0.8143,0.77281,0.79631,0.81653,0.85034,0.87575,0.81912,0.889,0.58019,0.04757,0.09822,0.11836,57.33,2.0
43738,0.27191,0.32699,0.24724,0.38301,0.93564,1.03708,0.85171,1.09419,0.06604,0.00028,0.57561,0.23773,37.31,2.0
167742,0.56236,0.50078,0.5402,0.56059,0.56936,0.57427,0.57399,0.5797,0.50524,0.2349,0.18188,0.21371,74.17,2.0
167595,1.00533,0.94389,0.98836,0.96843,0.99605,1.01596,0.95506,1.03045,0.32505,0.00196,0.27275,0.24548,41.81,2.0
102627,0.89566,0.81847,0.86911,0.85679,0.88025,0.896,0.84548,0.90645,0.50313,0.05414,0.09388,0.11565,64.67,2.0
109430,0.50988,0.58458,0.88696,1.01145,1.02499,1.03181,1.01152,1.03865,0.62431,0.01688,0.55816,0.61937,38.99,2.0
194381,0.53714,0.62358,0.58905,0.91827,0.96046,0.98997,0.91275,1.00989,0.38083,0.02768,0.68265,0.35922,45.75,2.0
120079,0.7411,0.71397,0.71862,0.73847,0.85591,0.91906,0.80403,0.96105,0.45221,0.01723,0.06318,0.08006,42.83,2.0
